1	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	2	0	0	0	0	0
39	150	36	5	11	0	28	0	2	100	0	3	49	14
0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	0	12	1	1	0	10	1	10	20	0	0	4	7
37	100	88	2	7	0	67	4	15	40	0	9	95	9
14	0	2	0	0	0	14	0	2	0	0	3	2	4
1	0	1	0	0	0	0	0	0	0	0	1	0	0
0	0	1	1	0	0	1	0	2	20	0	1	1	0
4	0	2	0	0	0	5	1	0	0	0	3	12	0
15	0	74	13	6	0	38	0	2	260	0	12	32	13
0	0	0	0	2	100	2	0	0	0	250	0	0	0
0	0	0	0	1	0	1	0	0	0	0	0	0	1
0	50	1	0	0	0	0	0	0	0	0	0	0	0
1	0	1	1	0	0	2	2	2	20	0	0	1	12
2	0	6	0	13	350	9	0	0	0	875	2	7	5
0	0	0	0	0	0	0	1	3	0	0	0	0	0
1	0	0	0	0	0	2	0	0	0	0	1	1	1
28	0	1	3	0	0	16	3	9	60	0	13	14	12
1	0	0	0	0	0	1	0	1	0	0	0	0	0
0	0	0	0	3	0	0	0	0	0	0	0	1	0
7	0	9	2	1	0	17	6	41	40	0	8	14	14
3	50	0	7	0	0	20	0	1	140	0	5	4	7
0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	0	41	17	11	0	206	3	5	340	0	38	117	36
0	0	0	0	0	0	1	0	0	0	0	0	0	1
54	0	5	5	9	0	42	1	2	100	0	9	12	21
0	0	1	3	0	0	3	2	2	60	0	0	1	2
2	0	2	33	1	0	12	6	2	660	0	4	1	3
25	0	57	2	0	0	41	0	1	40	0	2	39	19
38	0	116	11	5	0	121	4	12	220	0	12	119	24
38	150	81	18	9	0	80	2	4	360	0	5	129	4
6	0	36	2	7	0	33	0	2	40	0	3	22	8
2	0	0	0	0	0	1	0	0	0	0	1	2	4
1	0	4	2	1	0	1	0	1	40	0	1	0	3
28	0	17	29	0	0	37	2	8	580	0	4	11	19
23	0	47	19	0	0	63	1	2	380	0	16	47	22
70	0	139	7	29	0	168	3	6	140	0	32	150	41
2	0	1	2	0	0	1	0	0	40	0	0	0	2
117	0	253	44	40	0	265	7	31	880	0	56	320	56
0	0	1	0	0	0	0	0	0	0	0	0	0	0
21	0	3	11	0	0	11	0	0	220	0	4	2	5
8	0	2	23	0	0	18	2	5	460	0	4	0	17
7	150	2	4	7	0	35	1	0	80	0	2	6	6
73	0	130	29	21	0	223	1	22	580	0	93	163	101
32	0	95	9	12	0	77	5	12	180	0	8	134	31
1	0	9	0	2	0	13	0	0	0	0	6	18	1
36	100	5	9	3	0	71	0	0	180	0	1	19	7
8	0	6	2	2	0	16	0	3	40	0	21	51	8
17	0	48	12	18	0	47	6	2	240	0	3	30	14
3	0	14	6	0	0	19	2	0	120	0	11	15	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	50	31	20	4	0	56	2	4	400	0	34	27	26
1	0	3	9	0	0	2	0	0	180	0	0	4	2
0	0	0	0	0	0	2	1	0	0	0	1	0	2
156	250	30	32	3	0	64	0	3	640	0	6	26	23
3	0	33	5	8	0	36	1	1	100	0	0	53	8
0	0	0	1	0	0	4	0	1	20	0	4	1	5
6	0	17	23	0	0	20	2	4	460	0	8	5	20
23	0	131	34	12	0	108	5	17	680	0	27	156	49
72	0	59	19	5	0	88	4	2	380	0	10	93	22
0	0	7	0	1	0	2	0	1	0	0	2	2	5
3	0	21	1	1	0	21	0	0	20	0	3	53	4
4	0	5	0	1	0	7	0	4	0	0	11	14	6
9	0	15	0	14	0	50	0	2	0	0	29	21	20
2	0	12	2	1	0	20	0	0	40	0	3	16	23
4	0	8	0	2	0	5	1	0	0	0	2	7	9
29	100	36	67	9	0	68	0	9	1340	0	12	156	18
0	0	1	0	1	0	1	0	0	0	0	0	0	1
129	300	120	23	17	0	182	8	10	460	0	43	119	31
1	0	0	0	0	0	1	0	0	0	0	0	0	1
52	0	165	21	23	0	198	6	21	420	0	141	306	40
39	0	145	5	14	0	127	4	16	100	0	40	323	61
0	0	1	0	0	0	1	0	1	0	0	0	0	4
125	250	23	2	0	0	48	0	2	40	0	10	23	11
57	150	70	21	3	0	103	8	8	420	0	12	52	28
69	0	72	4	6	0	124	7	4	80	0	23	96	36
6	0	55	13	17	0	44	7	7	260	0	7	133	14
73	0	14	3	5	0	77	0	4	60	0	15	46	8
83	0	67	43	13	0	79	2	17	860	0	14	53	58
96	50	783	27	44	0	470	28	61	540	0	47	1240	159
42	100	1	6	0	0	99	0	0	120	0	5	15	2
9	0	7	2	0	0	27	0	0	40	0	5	15	9
39	0	236	19	33	0	283	7	29	380	0	71	249	35
198	50	219	2	19	0	315	25	30	40	0	39	668	52
21	0	6	0	3	0	43	0	0	0	0	3	24	5
3	0	2	14	1	0	19	2	9	280	0	38	7	19
0	0	0	14	0	0	5	0	0	280	0	2	2	8
14	0	121	18	18	0	105	4	13	360	0	20	132	17
46	0	43	50	4	0	107	13	15	1000	0	57	61	59
25	0	50	3	3	0	56	0	4	60	0	2	56	24
68	0	704	18	109	0	487	13	56	360	0	46	832	82
8	0	2	4	1	0	10	1	1	80	0	25	7	14
63	0	100	26	44	550	122	5	16	520	1375	50	155	42
14	0	18	4	4	0	51	2	1	80	0	16	35	12
5	0	10	21	3	100	26	3	8	420	250	16	22	20
208	200	201	12	36	0	201	5	26	240	0	68	341	58
46	0	73	4	2	0	147	1	4	80	0	18	102	18
96	0	255	1	10	0	129	6	8	20	0	20	169	15
21	0	26	2	4	0	79	1	9	40	0	10	49	14
57	0	6	6	2	0	28	0	3	120	0	19	27	15
64	0	81	2	29	0	110	0	4	40	0	15	133	16
46	50	53	7	14	0	128	0	7	140	0	67	136	31
8	0	5	0	5	0	40	0	2	0	0	28	33	7
23	0	18	13	11	0	56	0	0	260	0	10	94	18
0	0	0	4	0	0	5	0	0	80	0	0	0	1
69	0	17	7	3	0	189	1	2	140	0	6	19	34
28	0	51	6	9	0	119	3	6	120	0	25	105	19
34	0	26	1	2	0	30	0	8	20	0	20	37	14
22	0	67	7	6	0	96	1	6	140	0	18	109	36
53	0	95	4	9	0	72	1	6	80	0	15	94	23
13	0	100	2	2	0	63	0	1	40	0	0	31	11
8	0	73	34	24	0	60	1	3	680	0	5	83	20
0	0	0	0	0	0	2	0	1	0	0	0	1	1
18	0	23	1	3	0	31	0	3	20	0	12	35	11
54	0	76	3	15	0	118	1	8	60	0	14	129	16
91	0	35	8	12	0	71	5	11	160	0	18	43	25
241	0	69	19	13	0	203	0	19	380	0	24	231	49
29	0	152	4	31	0	191	0	8	80	0	78	127	26
27	0	59	4	7	0	54	1	2	80	0	3	92	14
60	0	38	11	8	0	81	3	5	220	0	31	103	23
35	0	72	45	15	0	133	6	18	900	0	17	88	43
24	0	164	62	37	0	89	2	5	1240	0	19	99	13
9	0	35	30	24	0	55	2	4	600	0	21	75	12
44	100	29	0	4	0	61	0	6	0	0	7	32	10
4	0	10	19	1	0	23	0	0	380	0	10	4	5
25	0	23	17	7	0	42	0	5	340	0	32	37	6
43	0	155	55	17	0	107	3	12	1100	0	29	186	33
0	0	4	0	0	0	4	0	0	0	0	6	11	6
74	0	121	23	12	0	103	5	13	460	0	18	138	52
55	0	61	1	30	0	174	1	14	20	0	36	191	29
26	0	189	0	21	0	122	2	12	0	0	56	243	12
58	0	69	6	24	0	148	0	9	120	0	46	179	32
5	0	35	0	2	0	20	0	2	0	0	3	41	11
82	0	56	21	8	0	118	2	4	420	0	8	186	59
251	0	32	34	38	150	133	0	17	680	375	21	44	20
43	0	19	2	5	0	55	3	2	40	0	9	40	6
8	0	149	4	7	0	99	4	26	80	0	42	236	28
239	0	395	35	57	0	368	5	44	700	0	56	375	67
37	0	108	66	35	0	162	3	15	1320	0	62	137	45
12	0	37	3	0	0	35	1	9	60	0	7	11	13
45	100	239	6	23	0	203	4	4	120	0	33	258	20
50	0	146	85	25	0	152	4	10	1700	0	82	149	27
0	0	12	5	0	0	14	1	1	100	0	6	12	9
188	0	106	3	30	0	174	4	4	60	0	34	209	37
3	0	127	2	17	0	47	1	4	40	0	13	118	14
41	0	25	2	8	0	41	0	1	40	0	3	86	14
11	0	45	4	12	0	103	0	1	80	0	20	82	21
5	0	13	1	12	0	35	0	0	20	0	4	18	2
8	0	6	9	0	0	19	2	3	180	0	0	5	12
8	0	41	0	7	0	53	0	2	0	0	4	32	6
24	50	73	8	13	0	86	0	5	160	0	79	128	10
10	0	41	14	11	0	49	0	5	280	0	8	67	8
9	0	139	1	16	0	55	2	4	20	0	1	73	8
18	0	179	0	22	0	186	7	14	0	0	20	369	29
120	0	54	14	13	0	96	4	4	280	0	37	82	11
22	0	52	2	8	0	76	1	6	40	0	20	70	8
63	0	51	9	18	0	119	2	4	180	0	10	168	31
12	0	17	8	2	0	37	7	57	160	0	4	22	29
60	50	78	0	1	0	59	1	8	0	0	8	89	14
26	0	15	1	5	0	33	2	3	20	0	3	31	18
10	0	34	6	4	0	33	0	4	120	0	4	43	14
