1	10	3	10	74
0	37	0	10	51
19	59	0	4	17
0	49	0	7	42
3	27	0	4	64
4	68	0	8	17
0	45	0	8	46
1	41	0	9	46
0	77	0	0	22
3	64	0	19	12
0	60	0	0	38
7	35	0	0	57
0	49	1	4	43
0	65	0	1	33
0	38	0	5	55
0	44	0	1	54
0	62	0	0	37
3	42	0	46	8
15	46	0	0	38
1	83	0	7	7
0	60	8	0	31
1	60	0	4	33
3	60	0	7	28
0	47	5	0	46
0	0	0	0	37
3	36	0	16	44
0	91	0	0	7
0	72	0	0	26
0	60	0	0	39
0	68	0	5	26
0	0	0	0	21
0	40	0	2	56
0	52	0	15	31
0	0	0	0	2
0	14	0	0	83
4	54	0	5	35
0	53	0	14	32
0	66	1	7	23
0	60	0	17	22
0	95	0	3	0
0	44	0	15	39
0	92	0	0	7
0	76	0	0	23
0	0	0	0	15
1	76	0	4	17
0	69	0	17	13
1	73	0	0	25
0	51	0	1	46
5	73	0	3	16
1	57	0	0	38
0	0	0	0	25
0	63	0	17	17
0	95	0	0	4
0	36	0	24	38
0	62	0	6	30
4	60	0	0	34
0	34	0	12	52
0	11	0	20	66
0	0	0	0	7
0	93	0	0	5
0	61	0	6	31
0	0	0	0	2
0	94	0	0	5
0	0	0	0	29
0	0	0	0	17
0	46	0	9	43
3	24	0	3	67
0	70	1	0	26
0	67	0	7	24
3	35	4	6	50
23	50	0	0	24
0	67	0	25	6
2	53	0	4	38
0	88	0	0	11
0	50	0	19	30
0	23	0	38	37
1	80	0	0	17
0	0	0	0	4
31	11	0	5	50
16	53	0	16	13
31	63	0	2	2
0	63	2	3	30
0	87	0	0	12
0	36	0	20	42
0	60	0	16	23
0	93	0	0	6
0	40	0	16	42
0	85	0	0	13
0	66	0	0	31
2	81	0	11	5
0	91	0	5	3
0	80	0	0	19
0	63	0	0	35
1	56	1	6	33
3	79	0	9	8
0	56	0	3	39
0	69	0	11	19
0	75	0	4	20
0	90	0	0	9
0	76	0	0	22
9	28	0	13	47
0	93	0	0	6
0	72	0	13	12
0	61	0	6	31
0	0	0	0	1
0	51	0	19	28
0	83	0	13	2
0	60	0	11	26
0	0	0	0	0
0	0	0	0	1
1	87	0	3	6
3	11	0	12	72
0	9	0	53	37
0	0	0	0	3
4	51	0	2	41
0	81	0	7	11
1	20	25	1	50
